Index,	Free Memory (kB),	Load Avg (1 min),	Load Avg (5 min),	Load Avg (15 min),	Running Processes,	Total Processes,	Time,	Computer Name
251,	677564,	0.25,	0.22,	0.18,	1,	207,	2-13-2018 18:08:26,	raspberrypi
252,	676968,	0.19,	0.21,	0.18,	1,	207,	2-13-2018 18:09:26,	raspberrypi
253,	676844,	0.22,	0.21,	0.18,	1,	207,	2-13-2018 18:10:26,	raspberrypi
254,	676720,	0.26,	0.22,	0.19,	2,	207,	2-13-2018 18:11:26,	raspberrypi
255,	676844,	0.21,	0.21,	0.18,	1,	207,	2-13-2018 18:12:26,	raspberrypi
256,	676596,	0.23,	0.21,	0.18,	1,	207,	2-13-2018 18:13:26,	raspberrypi
257,	676852,	0.19,	0.20,	0.18,	1,	206,	2-13-2018 18:14:26,	raspberrypi
258,	676968,	0.22,	0.21,	0.18,	2,	207,	2-13-2018 18:15:26,	raspberrypi
259,	676968,	0.17,	0.20,	0.18,	2,	207,	2-13-2018 18:16:26,	raspberrypi
260,	676828,	0.20,	0.20,	0.18,	1,	207,	2-13-2018 18:17:26,	raspberrypi
261,	676828,	0.24,	0.21,	0.18,	1,	207,	2-13-2018 18:18:26,	raspberrypi
262,	676828,	0.18,	0.20,	0.18,	2,	207,	2-13-2018 18:19:26,	raspberrypi
263,	676836,	0.22,	0.21,	0.18,	1,	206,	2-13-2018 18:20:26,	raspberrypi
264,	677068,	0.21,	0.20,	0.18,	1,	207,	2-13-2018 18:21:26,	raspberrypi
265,	676944,	0.19,	0.19,	0.18,	1,	207,	2-13-2018 18:22:26,	raspberrypi
266,	647716,	0.19,	0.19,	0.18,	2,	209,	2-13-2018 18:23:26,	raspberrypi
267,	647840,	0.17,	0.18,	0.18,	2,	209,	2-13-2018 18:24:26,	raspberrypi
268,	647840,	0.17,	0.18,	0.18,	2,	209,	2-13-2018 18:25:26,	raspberrypi
269,	650276,	0.16,	0.17,	0.18,	2,	205,	2-13-2018 18:26:26,	raspberrypi
270,	650144,	0.21,	0.19,	0.18,	1,	206,	2-13-2018 18:27:26,	raspberrypi
271,	650300,	0.18,	0.18,	0.18,	1,	204,	2-13-2018 18:28:26,	raspberrypi
272,	650300,	0.17,	0.18,	0.18,	1,	204,	2-13-2018 18:29:26,	raspberrypi
273,	650308,	0.15,	0.17,	0.18,	2,	204,	2-13-2018 18:30:26,	raspberrypi
274,	650308,	0.15,	0.17,	0.18,	1,	204,	2-13-2018 18:31:26,	raspberrypi
275,	650316,	0.13,	0.17,	0.18,	2,	203,	2-13-2018 18:32:26,	raspberrypi
276,	650432,	0.22,	0.18,	0.18,	2,	204,	2-13-2018 18:33:26,	raspberrypi
277,	650308,	0.19,	0.18,	0.18,	2,	204,	2-13-2018 18:34:26,	raspberrypi
278,	650432,	0.22,	0.19,	0.18,	2,	204,	2-13-2018 18:35:26,	raspberrypi
279,	650300,	0.27,	0.20,	0.19,	2,	204,	2-13-2018 18:36:26,	raspberrypi
